transaction_id,product_id,product_name,product_category,product_price,quantity_purchased,user_id,user_gender,user_age,user_country,purchase_amount,transaction_date,payment_method,shipment_method,shipment_duration
22222222,42877,strategize granular ROI,Toys & Games,861.3,1,72954,Male,18,Algeria,724.9,1632319463.0,Gift Card,Same-day Delivery,2
51495022,42589,syndicate one-to-one eyeballs,Tools & Home Improvement,717.2,3,23652,Male,18,Faroe Islands,1061.5,1584139410.0,Gift Card,Same-day Delivery,4
49177374,65581,mesh front-end deliverables,Fashion,701.8,5,32127,Male,74,Congo,1002.1,1612249378.0,Gift Card,Same-day Delivery,3
97297282,98953,transition real-time e-commerce,Electronics,348.7,3,5058,Female,81,Brazil,809.6,1625119615.0,Cash On Delivery,In-store Pickup,3
52805862,5151,architect value-added communities,Fashion,772.2,2,29692,Male,79,Equatorial Guinea,210.1,1678237868.0,PayPal,Standard Delivery,6
61136915,11147,extend one-to-one web-readiness,Books,631.4,4,45649,Male,53,Sao Tome and Principe,889.9,1616452600.0,PayPal,In-store Pickup,2
99750847,17593,architect web-enabled systems,Toys & Games,388.3,1,25808,Male,30,Puerto Rico,889.9,1618988707.0,PayPal,Express Delivery,5
16364633,88723,innovate value-added mindshare,Books,713.9,1,66749,Female,44,Djibouti,541.2,1588863593.0,Cash On Delivery,In-store Pickup,6
28785200,44858,mesh real-time architectures,Toys & Games,228.8,2,69248,Male,51,Algeria,433.4,1686665814.0,Cash On Delivery,In-store Pickup,3
91895903,16016,seize virtual eyeballs,Home & Kitchen,1027.4,1,83268,Female,51,Botswana,774.4,1607008747.0,Gift Card,Standard Delivery,2
11317846,63744,exploit holistic convergence,Home & Kitchen,656.7,3,49041,Female,82,Costa Rica,289.3,1661863627.0,Debit Card,Standard Delivery,1
98593908,28737,syndicate global metrics,Home & Kitchen,588.5,2,81386,Female,79,Puerto Rico,1083.5,1683837057.0,Gift Card,Express Delivery,3
38831682,31789,mesh transparent architectures,Fashion,550.0,4,81556,Female,49,United Arab Emirates,192.5,1667129294.0,Gift Card,In-store Pickup,4
65809162,35547,syndicate best-of-breed users,Fashion,136.4,3,73661,Male,54,Saint Helena,234.3,1626938880.0,PayPal,Same-day Delivery,2
30139991,85070,enable mission-critical interfaces,Home & Kitchen,349.8,4,94568,Female,22,Nicaragua,1048.3,1608951607.0,Debit Card,Same-day Delivery,6
25873462,41644,synthesize mission-critical paradigms,Books,1092.3,1,80989,Female,84,Nepal,414.7,1675233715.0,Credit Card,Express Delivery,6
19282466,8863,engage end-to-end solutions,Books,829.4,1,29236,Male,19,Central African Republic,177.1,1685420858.0,Gift Card,Standard Delivery,3
97440430,9402,envisioneer sticky functionalities,Electronics,546.7,2,50267,Male,60,Svalbard & Jan Mayen Islands,1060.4,1606530982.0,Debit Card,In-store Pickup,4
28856025,9506,target cross-platform vortals,Toys & Games,392.7,5,72639,Male,25,Guyana,489.5,1578236603.0,Gift Card,In-store Pickup,2
53080107,45846,leverage 24/365 experiences,Health & Personal Care,489.5,5,77718,Female,27,Suriname,552.2,1672460245.0,Credit Card,In-store Pickup,2
27482737,16638,monetize mission-critical action-items,Health & Personal Care,424.6,5,78281,Male,70,Zambia,577.5,1663936120.0,Debit Card,Express Delivery,5
53661922,54814,expedite granular users,Toys & Games,734.8,4,71018,Female,81,Yemen,380.6,1684397505.0,Credit Card,Express Delivery,1
99529512,71189,optimize customized e-services,Tools & Home Improvement,1079.1,2,47285,Female,58,France,335.5,1612669607.0,Gift Card,Standard Delivery,7
35169274,9333,enhance value-added metrics,Health & Personal Care,697.4,3,18256,Female,53,Lao People's Democratic Republic,266.2,1683364047.0,PayPal,Express Delivery,4
